epoch,train_loss,val_loss,lr,epoch_time_s,dice_Necrotic,iou_Necrotic,f1_Necrotic,dice_Edema,iou_Edema,f1_Edema,dice_Enhancing,iou_Enhancing,f1_Enhancing,mean_dice,mean_iou,mean_f1
1,1.06302,0.99994,2e-05,215.7,0.1945,0.1221,0.1945,0.247,0.1481,0.247,0.0191,0.0098,0.0191,0.1535,0.0933,0.1535
2,0.95185,0.93031,4e-05,226.2,0.2388,0.1579,0.2388,0.4149,0.293,0.4149,0.038,0.0206,0.038,0.2306,0.1572,0.2306
3,0.90952,0.87315,6e-05,218.8,0.2555,0.1723,0.2555,0.4587,0.3304,0.4587,0.2108,0.1584,0.2108,0.3084,0.2204,0.3084
4,0.85631,0.82131,8e-05,225.2,0.2916,0.1941,0.2916,0.4916,0.3642,0.4916,0.3067,0.2392,0.3067,0.3633,0.2659,0.3633
5,0.80018,0.76674,0.0001,221.2,0.2939,0.1985,0.2939,0.3335,0.2098,0.3335,0.1711,0.1172,0.1711,0.2662,0.1751,0.2662
6,0.7415,0.72677,9.961e-05,237.2,0.3469,0.2402,0.3469,0.5533,0.4106,0.5533,0.4879,0.3789,0.4879,0.4627,0.3432,0.4627
7,0.68387,0.66613,9.844e-05,243.9,0.3789,0.2654,0.3789,0.5948,0.4578,0.5948,0.5546,0.4398,0.5546,0.5094,0.3877,0.5094
8,0.63061,0.63558,9.652e-05,249.8,0.3834,0.2765,0.3834,0.5711,0.434,0.5711,0.5558,0.4493,0.5558,0.5034,0.3866,0.5034
9,0.58621,0.58178,9.388e-05,253.9,0.3937,0.2865,0.3937,0.5761,0.4412,0.5761,0.5577,0.454,0.5577,0.5092,0.3939,0.5092
10,0.54411,0.55679,9.055e-05,249.0,0.2201,0.1504,0.2201,0.461,0.3532,0.461,0.4327,0.3544,0.4327,0.3713,0.286,0.3713
11,0.51814,0.53778,8.658e-05,238.4,0.3799,0.2689,0.3799,0.4679,0.3472,0.4679,0.4376,0.3385,0.4376,0.4285,0.3182,0.4285
12,0.48876,0.49768,8.205e-05,261.5,0.4346,0.3152,0.4346,0.6218,0.4897,0.6218,0.6554,0.5417,0.6554,0.5706,0.4489,0.5706
13,0.46376,0.48072,7.702e-05,267.9,0.4519,0.3307,0.4519,0.6126,0.477,0.6126,0.6007,0.4907,0.6007,0.555,0.4328,0.555
14,0.44005,0.46793,7.158e-05,304.6,0.3768,0.2712,0.3768,0.5661,0.4445,0.5661,0.5839,0.4851,0.5839,0.5089,0.4003,0.5089
15,0.42192,0.46929,6.58e-05,268.1,0.3841,0.2795,0.3841,0.4839,0.3659,0.4839,0.5263,0.432,0.5263,0.4648,0.3591,0.4648
16,0.40838,0.45233,5.978e-05,260.3,0.4368,0.3199,0.4368,0.6137,0.4852,0.6137,0.6088,0.4994,0.6088,0.5531,0.4348,0.5531
17,0.39565,0.4247,5.361e-05,270.0,0.443,0.3266,0.443,0.6293,0.5018,0.6293,0.6613,0.553,0.6613,0.5779,0.4605,0.5779
18,0.38279,0.42725,4.739e-05,262.1,0.4309,0.3145,0.4309,0.6102,0.476,0.6102,0.6093,0.4939,0.6093,0.5501,0.4281,0.5501
19,0.37733,0.42437,4.122e-05,269.6,0.3589,0.2529,0.3589,0.5367,0.4044,0.5367,0.4644,0.3652,0.4644,0.4533,0.3408,0.4533
20,0.36539,0.41552,3.52e-05,274.1,0.4066,0.2938,0.4066,0.5804,0.4542,0.5804,0.5548,0.4526,0.5548,0.5139,0.4002,0.5139
21,0.35637,0.38681,2.942e-05,270.7,0.4974,0.3668,0.4974,0.6727,0.5443,0.6727,0.6867,0.5726,0.6867,0.6189,0.4945,0.6189
22,0.34576,0.40168,2.398e-05,282.3,0.4597,0.3402,0.4597,0.5636,0.433,0.5636,0.6184,0.5122,0.6184,0.5473,0.4285,0.5473
23,0.34883,0.3862,1.895e-05,258.9,0.4905,0.3619,0.4905,0.6245,0.4945,0.6245,0.6881,0.5802,0.6881,0.601,0.4789,0.601
24,0.34046,0.40298,1.442e-05,272.2,0.3931,0.284,0.3931,0.4522,0.3303,0.4522,0.508,0.4086,0.508,0.4511,0.341,0.4511
25,0.33363,0.38939,1.045e-05,274.2,0.429,0.3095,0.429,0.5565,0.4259,0.5565,0.5784,0.4702,0.5784,0.5213,0.4019,0.5213
26,0.33969,0.38307,7.12e-06,268.5,0.4883,0.3583,0.4883,0.6202,0.4897,0.6202,0.6802,0.5692,0.6802,0.5962,0.4724,0.5962
27,0.32922,0.38398,4.48e-06,270.1,0.4724,0.3444,0.4724,0.5825,0.4546,0.5825,0.6096,0.496,0.6096,0.5548,0.4317,0.5548
28,0.33043,0.41005,2.56e-06,257.2,0.3389,0.2474,0.3389,0.3798,0.2714,0.3798,0.4199,0.3342,0.4199,0.3795,0.2843,0.3795
29,0.33126,0.39428,1.39e-06,268.0,0.4092,0.2965,0.4092,0.504,0.379,0.504,0.5318,0.4284,0.5318,0.4817,0.368,0.4817
30,0.32919,0.37648,1e-06,270.1,0.4826,0.3548,0.4826,0.5981,0.4685,0.5981,0.6773,0.5671,0.6773,0.586,0.4634,0.586
